name,description,category_id,multi_categories,brand_id,ISBN 10,ISBN 13,Publisher,Author,edition,binding,language,dimensions ,weight ,video_provider,video_link,tags,unit_price,unit,slug,current_stock,est_shipping_days,sku,meta title,meta_description,thumbnail_img,photos
Shree Hanuman Chalisa (pocket),"A pocket-sized edition of the revered Hindu devotional hymn, the Hanuman Chalisa. This portable version allows for easy access and recitation of the 40-verse prayer dedicated to Lord Hanuman, ideal for daily spiritual practice.",1,1,,9353337348,9789353337346,Rupa,RUPA,,Paperback,English,"
25.4 x 4.7 x 20.3",10,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41uNgt8CDLL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41uNgt8CDLL._SY445_SX342_.jpg
HOW TO WIN FRIEND AND INFLUENCE PEOPLE (B FORMAT),"A compact, B-format paperback of Dale Carnegie's timeless self-help classic. This book provides actionable principles and techniques for improving social skills, building influence, and achieving success in personal and professional relationships.",1,1,,9391256686,9789391256685,Rupa,DALE CARNEGIE,,Paperback,English,322.9 x 328 x 307.3 ,14,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41RJ5WOGtNL._SY425_.jpg,https://m.media-amazon.com/images/I/41RJ5WOGtNL._SY425_.jpg
Ayodhya The Battle Ground (hb),"A hardcover historical analysis of Ayodhya. The book delves into the complex history and geopolitical significance of this region, examining the conflicts and transformations that have shaped its identity over time.",1,1,,9390547571,9789390547579,Rupa,HEMANT SHARMA,,Paperback,English,"
20.3 x 25.4 x 4.7",14,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51cpWPBxGDL._SY425_.jpg,https://m.media-amazon.com/images/I/51cpWPBxGDL._SY425_.jpg
Little Women-flipkart,"A Flipkart-exclusive edition of Louisa May Alcott's beloved classic novel. It tells the story of the four March sisters as they navigate adolescence, family, and social expectations during the American Civil War era.",1,1,,9391256856,9789391256852,Rupa,LOUISA MAY ALCOTT,,Paperback,English,,14,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51ci-QhcFEL._SY425_.jpg,https://m.media-amazon.com/images/I/51ci-QhcFEL._SY425_.jpg
No Regrets (pb),"A paperback edition of a book exploring the philosophy of living a life without regrets. This work offers insights and guidance on making conscious choices, embracing vulnerability, and finding peace with one's past decisions.",1,1,,9353334136,9789353334130,Rupa,D N GHOSH,,Paperback,English,240.8 x 245.9 x 225.2,14,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51ffS89cA-L._SY425_.jpg,https://m.media-amazon.com/images/I/51ffS89cA-L._SY425_.jpg
Sense And Sensibility-flipkart,"A Flipkart-exclusive edition of Jane Austen's classic novel. The story contrasts the personalities of two sisters, Elinor and Marianne Dashwood, as they experience love, loss, and societal pressures in Regency England.",1,1,,9391256783,9789391256784,Rupa,JANE AUSTEN,,Paperback,English,240.8 x 245.9 x 225.,14,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41OEb2zoC3L._SY425_.jpg,https://m.media-amazon.com/images/I/41OEb2zoC3L._SY425_.jpg
THE WORLD WE HAVE,A thought-provoking book that critically examines the current state of our world. It explores global challenges and offers perspectives on how to build a more sustainable and equitable future.,1,1,,9395853166,9789395853163,Rupa,THICH NHAT HANH,,Paperback,English,"
12.9 x 1 x 19.8",15,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61GQwBdl7sL._SY466_.jpg,https://m.media-amazon.com/images/I/61GQwBdl7sL._SY466_.jpg
CALYPSO CHRISTMAS (PB),"A paperback edition of a festive story with a tropical theme. The book combines the joyous spirit of Christmas with the vibrant culture and music of the Caribbean, offering a unique holiday narrative.",1,1,,9353334306,9789353334307,Rupa,RUSKIN BOND,,Paperback,English,,20,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81pCwAj7jRL._SY466_.jpg,https://m.media-amazon.com/images/I/81pCwAj7jRL._SY466_.jpg
Half A Billion Rising (pb),"A paperback analysis of the empowerment of women in developing nations. The book explores social and economic factors that have led to the rise of women in leadership and entrepreneurship, highlighting the impact of this demographic shift.",1,1,,8129138549,9788129138545,Rupa,#N/A,,Paperback,English,"
13.97 x 1.68 x 21.59",20,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41wWttISftL._SY466_.jpg,https://m.media-amazon.com/images/I/41wWttISftL._SY466_.jpg
Perfect Written English,"A comprehensive guide to mastering written English. This book provides rules, examples, and exercises to improve grammar, vocabulary, and stylistic expression for academic and professional contexts.",1,1,,8129120542,9788129120540,Rupa,TERRY O BRIEN,,Paperback,English,,22,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/41ZYgK3ep9L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/41ZYgK3ep9L._SY445_SX342_.jpg
The Future In The Past (hb),A hardcover book that explores how historical events and past decisions have shaped our present and future. It provides a detailed analysis of key moments in history and their long-term consequences.,1,1,,939585314X,9789395853149,Rupa,ROMILA THAPAR,,Paperback,English,21.59 x 13.97 x 2.54 ,23,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/715sXlPG0WL._SY466_.jpg,https://m.media-amazon.com/images/I/715sXlPG0WL._SY466_.jpg
HOW TO BECOME RICH (PB),"A paperback guide to building wealth and achieving financial success. The book offers strategies, mindset shifts, and practical advice on investment, savings, and income generation.",1,1,,9353336899,9789353336899,Rupa,DEVDUTT PATTANAIK,,Paperback,English,"
13 x 0.76 x 19.7",40,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81M2IkMzqaL._SY425_.jpg,https://m.media-amazon.com/images/I/81M2IkMzqaL._SY425_.jpg
WHO KISSED ME IN THE DARK,"A compelling novel exploring themes of memory, identity, and the lingering effects of a mysterious encounter. The story follows a protagonist on a quest to uncover the truth behind a forgotten event.",1,1,,8129135949,9788129135940,Rupa,RUSKIN BOND,,Paperback,English,"
12.95 x 0.84 x 19.79",42,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71vHe2628fL._SY522_.jpg,https://m.media-amazon.com/images/I/71vHe2628fL._SY522_.jpg
Modern Writing Skills,"A practical guide to developing effective writing skills for the modern age. This book covers techniques for creating clear, concise, and impactful content for digital media, business communication, and personal projects.",1,1,,8129118513,9788129118516,Rupa,TERRY O BRIEN,,Paperback,English,20.32 x 12.7 x 1.27,42,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/61alv+hBnfL._SY522_.jpg,https://m.media-amazon.com/images/I/61alv+hBnfL._SY522_.jpg
When The Boss Is Wrong,A professional development guide on navigating difficult workplace situations. It provides strategies for constructively addressing conflicts and disagreements with superiors while maintaining professional integrity.,1,1,,8129136821,9788129136824,Rupa,SIBICHEN K. MATHEW,,Paperback,English,13.97 x 1.83 x 21.59 ,42,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71YmuOTOVlL._SY466_.jpg,https://m.media-amazon.com/images/I/71YmuOTOVlL._SY466_.jpg
Who Kissed Me In The Dark,"A compelling novel exploring themes of memory, identity, and the lingering effects of a mysterious encounter. The story follows a protagonist on a quest to uncover the truth behind a forgotten event.",1,1,,8129135949,9788129135940,Rupa,RUSKIN BOND,,Paperback,English,12.95 x 0.84 x 19.79,42,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71vHe2628fL._SY522_.jpg,https://m.media-amazon.com/images/I/71vHe2628fL._SY522_.jpg
THE POST OFFICE:RABINDRANATH TAGORE,"A collection of plays and poems by Nobel laureate Rabindranath Tagore. This edition features the celebrated play ""The Post Office,"" a poignant and allegorical work on life and freedom.",1,1,,8171676774,9788171676774,Rupa,RABINDRANATH TAGORE,,Paperback,English,,46,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/71mDw7219zL._SY466_.jpg,https://m.media-amazon.com/images/I/71mDw7219zL._SY466_.jpg
JUNIOR CLASSICS BOOK -04,"The fourth book in the Junior Classics series, featuring a selection of timeless stories adapted for young readers. This collection aims to introduce children to classic literature in an accessible format.",1,1,,8129138883,9788129138880,Rupa,"J SPYRI, C DICKENS, LOUIS MAY ALCOTT, A SEWELL",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91tLZ5R-V9L._SY522_.jpg,https://m.media-amazon.com/images/I/91tLZ5R-V9L._SY522_.jpg
JUNIOR CLASSICS BOOK -05,"The fifth book in the Junior Classics series, offering a new collection of adapted classics for young readers. It provides a curated selection of engaging tales to foster a love for reading.",1,1,,8129138891,9788129138897,Rupa,"CHARLES DICKENS, JULES VERNE, R KIPLING, H PYLE",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91ZaD+wSKML._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/91ZaD+wSKML._SY445_SX342_.jpg
JUNIOR CLASSICS BOOK -06,"The sixth book in the Junior Classics series, continuing the tradition of presenting classic literature in an easy-to-read format for children. This volume features a new set of well-known stories.",1,1,,8129138905,9788129138903,Rupa,"JOHN BARROW, C COLLODI, H. R. HAGGARD, JULES VERNE",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91Br1Nmpv4L._SY522_.jpg,https://m.media-amazon.com/images/I/91Br1Nmpv4L._SY522_.jpg
Junior Classics Book 1,"The first book in the Junior Classics series, a perfect introduction to timeless literature for young readers. This volume contains simplified versions of classic tales, fostering early literacy and a love of stories.",1,1,,8129138859,9788129138859,Rupa,"L. CARROLL, S. COOL, KATE DOUGLAS, FRANCES HODGSON",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81KEhhpbEfL._SY466_.jpg,https://m.media-amazon.com/images/I/81KEhhpbEfL._SY466_.jpg
Junior Classics Book 4,"The fourth book in the Junior Classics series, featuring a selection of timeless stories adapted for young readers. This collection aims to introduce children to classic literature in an accessible format.",1,1,,8129138883,9788129138880,Rupa,"J SPYRI, C DICKENS, LOUIS MAY ALCOTT, A SEWELL",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91tLZ5R-V9L._SY522_.jpg,https://m.media-amazon.com/images/I/91tLZ5R-V9L._SY522_.jpg
Junior Classics Book 5,"The fifth book in the Junior Classics series, offering a new collection of adapted classics for young readers. It provides a curated selection of engaging tales to foster a love for reading.",1,1,,8129138891,9788129138897,Rupa,"CHARLES DICKENS, JULES VERNE, R KIPLING, H PYLE",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91ZaD+wSKML._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/91ZaD+wSKML._SY445_SX342_.jpg
Junior Classics Book 6,"The sixth book in the Junior Classics series, continuing the tradition of presenting classic literature in an easy-to-read format for children. This volume features a new set of well-known stories.",1,1,,8129138905,9788129138903,Rupa,"JOHN BARROW, C COLLODI, H. R. HAGGARD, JULES VERNE",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91mGySl7UjL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/91mGySl7UjL._SY445_SX342_.jpg
Junior Classics Book 8,"The eighth book in the Junior Classics series, offering more adapted stories from world literature. It is designed to expand the reading horizons of young children with diverse and engaging narratives.",1,1,,8129138921,9788129138927,Rupa,"R L STEVENSON, M SHELLY, H.G.WELLS, BRAM STOKER",,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91mGySl7UjL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/91mGySl7UjL._SY445_SX342_.jpg
Junior Classics Book 9,"The ninth book in the Junior Classics series, providing a new compilation of classic tales for children. This book helps young readers engage with foundational stories in a simple, enjoyable way.",1,1,,812913893X,9788129138934,Rupa,JANE AUSTEN/OSCAR WILDE/EDGAR ALLAN POE/GEORGE ELI,,Paperback,English,,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/91FgISmHqLL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/91FgISmHqLL._SY445_SX342_.jpg
Sonnets About Nothing,"A collection of humorous and satirical sonnets that playfully explore mundane and unexpected subjects. This book reinterprets the traditional poetic form for a modern, witty audience.",1,1,,8129135345,9788129135346,Rupa,ASHEESH SANTRAM,,Paperback,English,12.9 x 0.91 x 19.81,48,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/611-FjSPodL._SY522_.jpg,https://m.media-amazon.com/images/I/611-FjSPodL._SY522_.jpg
The Book Of Indian Sweets,"A comprehensive guide to preparing traditional Indian sweets. This cookbook features a wide range of recipes, from classic favorites to regional specialties, complete with detailed instructions.",1,1,,8129111233,9788129111234,Rupa,SATARUPA BANERJEE,,Paperback,English,,48,,,,,pc,,10,,,,,,
UGLY DUCKLING,"A classic fairy tale beautifully retold for young readers. This book, based on Hans Christian Andersen's story, teaches a valuable lesson about self-acceptance and inner beauty.",1,1,,9357029249,9789357029247,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51sdJNWsUWL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51sdJNWsUWL._SY445_SX342_.jpg
10 Minutes Fairy Tales Bambi,"A short, ten-minute version of the classic Bambi story. This book is perfect for quick bedtime reads, offering a simplified and engaging narrative for children.",1,1,,935702963X,9789357029636,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51Ieh2Ih17L._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51Ieh2Ih17L._SY445_SX342_.jpg
10 Minutes Fairy Tales Little Red Riding Hood,"A ten-minute adaptation of the classic tale of Little Red Riding Hood. This storybook is ideal for short reading sessions, capturing the essence of the original story in a concise format.",1,1,,9357027297,9789357027298,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/81y9Tv-9B1L._SY425_.jpg,https://m.media-amazon.com/images/I/81y9Tv-9B1L._SY425_.jpg
10 Minutes Fairy Tales Peter Pan,"A quick, ten-minute retelling of the Peter Pan story. This book allows children to enjoy the magical tale of Neverland in a short, easy-to-read format.",1,1,,9357028544,9789357028547,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51fSd8BvBLL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51fSd8BvBLL._SY445_SX342_.jpg
10 Minutes Fairy Tales Pinocchio,"A concise, ten-minute version of the classic Pinocchio story. It follows the wooden puppet's journey to become a real boy, perfect for short, engaging story times.",1,1,,9357026460,9789357026468,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51wVZkuk8oL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51wVZkuk8oL._SY445_SX342_.jpg
10 Minutes Fairy Tales Snow White And The Seven Dwarfs,"A ten-minute adaptation of Snow White. This book provides a quick read for children, capturing the enchanting story of the princess and her seven dwarf companions.",1,1,,9357026363,9789357026369,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51gTZpjadTL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51gTZpjadTL._SY445_SX342_.jpg
10 Minutes Fairy Tales The Jungle Book,"A short, ten-minute version of The Jungle Book. This storybook allows children to follow Mowgli's adventures in the jungle in a simple and fast-paced narrative.",1,1,,9357026878,9789357026871,Rupa,NIL AUTHOR,,Paperback,English,,50,,,,,pc,,10,,,,,https://m.media-amazon.com/images/I/51WmGeBRyYL._SY445_SX342_.jpg,https://m.media-amazon.com/images/I/51WmGeBRyYL._SY445_SX342_.jpg
